ID,country,points,price,province,tasterName,title,variety,winery
36,Chile,86,15,Colchagua Valley,Michael Schachner,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa
41,US,86,22,Oregon,Paul Gregutt,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
42,France,86,9,Beaujolais,Roger Voss,Henry Fessy 2012 Nouveau (Beaujolais),Gamay,Henry Fessy
44,Chile,86,9,Maule Valley,Michael Schachner,Sundance 2011 Merlot (Maule Valley),Merlot,Sundance
49,France,86,14,Beaujolais,Roger Voss,Vignerons de Bel Air 2011 Ete Indien (Brouilly),Gamay,Vignerons de Bel Air
51,Chile,85,22,Colchagua Valley,Michael Schachner,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,Casa Silva
53,France,85,15,Bordeaux,Roger Voss,Chateau de Sours 2011 La Fleur d'Amelie (Bordeaux Blanc),Bordeaux-style White Blend,Chateau de Sours
56,US,85,14,California,Virginie Boone,Souverain 2010 Chardonnay (North Coast),Chardonnay,Souverain
58,Chile,85,13,Maipo Valley,Michael Schachner,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios
59,US,86,55,Washington,Sean P. Sullivan,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni
60,US,86,100,California,Virginie Boone,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi
61,Italy,86,17,Central Italy,Kerin O Keefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli
62,US,86,25,Washington,Sean P. Sullivan,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram
63,France,86,58,Champagne,Roger Voss,Roland Champion NV Brut Rose (Champagne),Champagne Blend,Roland Champion
64,US,86,26,California,Matt Kettmann,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap
65,France,86,24,Burgundy,Roger Voss,Simonnet-Febvre 2015 Chablis,Chardonnay,Simonnet-Febvre
66,France,86,15,Burgundy,Roger Voss,Vignerons des Terres Secretes 2015 Macon-Milly Lamartine,Chardonnay,Vignerons des Terres Secretes
67,US,86,46,Washington,Sean P. Sullivan,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars
68,US,86,12,California,Jim Gordon,Cocobon 2014 Red (California),Red Blend,Cocobon
69,France,86,55,Champagne,Roger Voss,Collet NV Brut Rose (Champagne),Champagne Blend,Collet
70,US,86,12,Washington,Sean P. Sullivan,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller
71,US,86,40,California,Virginie Boone,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno
72,Italy,86,32,Southern Italy,Kerin O Keefe,Grifalco 2013 Daginestra (Aglianico del Vulture),Aglianico,Grifalco
73,US,86,75,California,Virginie Boone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight
74,US,86,55,California,Virginie Boone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
75,US,86,75,California,Virginie Boone,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,86,9,Rheinhessen,Anna Lee C. Iijima,Schmitt Sohne 2015 Riesling (Rheinhessen),Riesling,Schmitt Sohne
77,Australia,86,18,South Australia,Joe Czerwinski,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba
78,US,86,25,Oregon,Paul Gregutt,Z'IVO 2015 Rose of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO
80,Chile,86,12,Rapel Valley,Michael Schachner,Aresti 2014 Special Release Reserva Carmenere (Rapel Valley),Carmenere,Aresti
81,Spain,86,16,Galicia,Michael Schachner,Spyro 2014 Albarino (Rias Baixas),Albarino,Spyro
82,France,86,11,France Other,Roger Voss,Lionel Osmin & Cie 2016 La Reserve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie
83,Australia,86,20,South Australia,Joe Czerwinski,Mitolo 2016 Jester Sangiovese Rose (McLaren Vale),Rose,Mitolo
84,US,86,24,California,Virginie Boone,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars
85,Germany,86,10,Rheinhessen,Anna Lee C. Iijima,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg
86,US,86,20,Washington,Sean P. Sullivan,Palencia 2016 Albarino (Ancient Lakes),Albarino,Palencia
87,US,86,55,California,Virginie Boone,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio
88,Italy,86,29,Tuscany,Kerin O Keefe,Poggio Alloro 2014 Le Mandorle Riserva (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro
89,Italy,88,19,Tuscany,Kerin O Keefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
90,US,88,23,California,Virginie Boone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
91,US,88,18,California,Virginie Boone,Folie a Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie a Deux
92,US,88,55,California,Virginie Boone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
93,Austria,88,12,Burgenland,Anne Krebiehl,Fuchs 2015 Gruner Veltliner (Burgenland),Gruner Veltliner,Fuchs
94,US,88,22,Washington,Sean P. Sullivan,Gard 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gard
95,France,88,20,Beaujolais,Roger Voss,Henry Fessy 2015 Julienas,Gamay,Henry Fessy
96,France,88,18,Beaujolais,Roger Voss,Henry Fessy 2015 Regnie,Gamay,Henry Fessy
97,US,88,20,New York,Anna Lee C. Iijima,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
98,Italy,88,30,Tuscany,Kerin O Keefe,Serpaia di Endrizzi 2010 Dono Riserva (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi
99,US,88,75,California,Virginie Boone,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
100,US,88,18,New York,Anna Lee C. Iijima,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa
101,US,87,20,New York,Anna Lee C. Iijima,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
102,US,87,20,New York,Anna Lee C. Iijima,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
103,Chile,87,18,Leyda Valley,Michael Schachner,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda
104,Italy,87,16,Tuscany,Kerin O Keefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta
105,Italy,87,14,Tuscany,Kerin O Keefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori
106,Italy,87,30,Tuscany,Kerin O Keefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi
107,Italy,87,18,Tuscany,Kerin O Keefe,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi
108,US,87,26,California,Matt Kettmann,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch
109,Italy,87,30,Tuscany,Kerin O Keefe,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia
110,France,87,23,Beaujolais,Roger Voss,Pardon et Fils 2015 Les Quartelets (Brouilly),Gamay,Pardon et Fils
111,US,87,85,California,Virginie Boone,Pina 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Pina
112,Italy,87,15,Tuscany,Kerin O Keefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona
113,Italy,87,19,Tuscany,Kerin O Keefe,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso
114,US,87,18,California,Matt Kettmann,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull
115,US,87,18,California,Matt Kettmann,Pull 2013 Chardonnay (Paso Robles),Chardonnay,Pull
116,US,87,25,California,Matt Kettmann,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2
117,US,87,44,California,Matt Kettmann,Rideau 2014 Estate Syrah,Syrah,Rideau
118,Italy,87,80,Tuscany,Kerin O Keefe,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi
123,Australia,92,40,South Australia,Joe Czerwinski,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
125,South Africa,91,45,Stellenbosch,Roger Voss,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche
132,South Africa,91,30,Simonsberg-Stellenbosch,Roger Voss,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim
136,France,91,50,Bordeaux,Joe Czerwinski,Lassegue 2003 Saint-Emilion,Bordeaux-style Red Blend,Lassegue
144,US,91,85,California,Virginie Boone,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
145,US,91,64,California,Matt Kettmann,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
146,US,91,68,California,Matt Kettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
147,US,91,68,California,Matt Kettmann,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
148,Germany,91,16,Rheinhessen,Anna Lee C. Iijima,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift
149,US,91,35,California,Matt Kettmann,Wrath 2013 Destruction Level Red (Monterey),Rhone-style Red Blend,Wrath
150,US,91,25,California,Virginie Boone,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick
151,Portugal,91,30,Alentejano,Roger Voss,Herdade Grande 2014 Geracoes Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande
152,US,91,55,California,Matt Kettmann,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge
153,US,91,46,California,Matt Kettmann,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina
154,Spain,91,50,Central Spain,Michael Schachner,Marques de Grinon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,Marques de Grinon
155,US,91,36,California,Matt Kettmann,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin
156,Germany,91,14,Mosel,Anna Lee C. Iijima,Carl Graff 2014 Graacher Himmelreich Spatlese Riesling (Mosel),Riesling,Carl Graff
157,Portugal,91,26,Alentejano,Roger Voss,Casa Santa Vitoria 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitoria
158,Italy,91,38,Tuscany,Kerin O Keefe,Castello di Gabbiano 2012 Bellezza Gran Selezione (Chianti Classico),Sangiovese,Castello di Gabbiano
160,France,91,35,Southwest France,Roger Voss,Chateau Vincens 2012 Malbec (Cahors),Malbec,Chateau Vincens
161,US,91,35,California,Matt Kettmann,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars
162,US,91,28,California,Matt Kettmann,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,Claiborne & Churchill
164,Chile,91,29,Aconcagua Valley,Michael Schachner,Conde de Velazquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velazquez
165,Chile,91,32,Maipo Valley,Michael Schachner,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
166,France,91,25,Southwest France,Roger Voss,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,Domaine Berthoumieu
167,US,91,28,California,Matt Kettmann,Dracaena 2013 Cabernet Franc (Paso Robles),Cabernet Franc,Dracaena
168,US,91,95,California,Virginie Boone,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn
169,US,91,44,California,Virginie Boone,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
170,Germany,91,30,Mosel,Anna Lee C. Iijima,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag
171,Germany,91,22,Mosel,Anna Lee C. Iijima,Fritz Haag 2014 Riesling (Mosel),Riesling,Fritz Haag
172,Chile,91,20,Loncomilla Valley,Michael Schachner,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7
173,US,91,38,Oregon,Paul Gregutt,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau
174,New Zealand,88,19,Marlborough,Joe Czerwinski,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh
176,Chile,88,50,Maipo Valley,Michael Schachner,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater
179,France,88,27,Burgundy,Roger Voss,La Chablisienne 2006 Les Venerables Vieilles Vignes (Chablis),Chardonnay,La Chablisienne
183,Argentina,88,12,Other,Michael Schachner,Alamos 2007 Torrontes (Salta),Torrontes,Alamos
185,Chile,88,15,Colchagua Valley,Michael Schachner,Apaltagua 2007 Envero Gran Reserva Carmenere (Colchagua Valley),Carmenere,Apaltagua
188,Chile,88,11,Colchagua Valley,Michael Schachner,Vina Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,Vina Bisquertt
189,Chile,87,11,Casablanca Valley,Michael Schachner,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Emiliana
191,Australia,87,30,South Australia,Joe Czerwinski,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Cabernet Sauvignon,Henry's Drive Vignerons
193,France,87,35,Burgundy,Roger Voss,Bertrand Ambroise 2006 St.-Romain,Chardonnay,Bertrand Ambroise
197,South Africa,90,23,Western Cape,Lauren Buzzeo,Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,Spier
198,US,90,60,California,Virginie Boone,Sequum 2013 Four Soil Melange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum
199,US,90,28,California,Jim Gordon,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr
201,Italy,90,62,Northeastern Italy,Kerin O Keefe,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan
202,Israel,90,50,Judean Hills,Mike DeSimone,Yatir 2011 Syrah (Judean Hills),Syrah,Yatir
203,Portugal,90,28,Alentejo,Roger Voss,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba
204,US,90,30,California,Matt Kettmann,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,J. Lohr
205,US,90,25,California,Matt Kettmann,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,J. Lohr
206,US,90,25,California,Virginie Boone,Courtney Benham 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham
207,US,90,32,California,Virginie Boone,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Del Carlo Winery
208,South Africa,90,40,Coastal Region,Lauren Buzzeo,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,Delaire Graff
209,France,90,16,Rhone Valley,Joe Czerwinski,Domaine St Pierre 2014 Red (Cotes du Rhone),Rhone-style Red Blend,Domaine St Pierre
210,South Africa,90,20,Western Cape,Lauren Buzzeo,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,Eikendal
211,France,90,32,Rhone Valley,Joe Czerwinski,Famille Perrin 2013 Les Christins Red (Vacqueyras),Rhone-style Red Blend,Famille Perrin
212,Spain,90,40,Northern Spain,Michael Schachner,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera
213,US,90,48,California,Matt Kettmann,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV
214,US,90,36,California,Virginie Boone,Mounts 2014 Verah Red (Dry Creek Valley),Rhone-style Red Blend,Mounts
215,Israel,90,80,Galilee,Mike DeSimone,Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,Or Haganuz
216,Italy,90,57,Tuscany,Kerin O Keefe,Podere Scopetone 2012 Brunello di Montalcino,Sangiovese,Podere Scopetone
217,Portugal,90,20,Beira Atlantico,Roger Voss,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,Quinta de Foz de Arouce
218,US,90,20,California,Virginie Boone,Robert Mondavi 2015 Fume Blanc (Napa Valley),Fume Blanc,Robert Mondavi
219,Hungary,90,36,Tokaj,Jeff Jenssen,Samuel Tinon 2015 Megyer Dry Furmint (Tokaj),Furmint,Samuel Tinon
220,US,90,40,California,Virginie Boone,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,Sixteen by Twenty
221,Italy,90,40,Northeastern Italy,Kerin O Keefe,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls
224,Argentina,90,22,Mendoza Province,Michael Schachner,Mendel 2014 Lunta Malbec (Lujan de Cuyo),Malbec,Mendel
225,South Africa,90,25,Stellenbosch,Lauren Buzzeo,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,Oldenburg
226,South Africa,90,20,Stellenbosch,Lauren Buzzeo,Oldenburg 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Oldenburg
230,US,85,16,New York,Susan Kostrzewa,Bloomer Creek 2006 Gewurztraminer (Finger Lakes),Gewurztraminer,Bloomer Creek
231,Argentina,85,10,Mendoza Province,Michael Schachner,Andean Sky 2007 Bonarda (Mendoza),Bonarda,Andean Sky
233,US,85,28,Oregon,Paul Gregutt,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
238,Australia,85,29,South Australia,Joe Czerwinski,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg
240,France,85,9,Southwest France,Roger Voss,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Cotes de Gascogne),Ugni Blanc-Colombard,Domaine du Tariquet
244,Spain,85,13,Northern Spain,Michael Schachner,J. & F. Lurton 2007 Herederos de Francois Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y Leon),Red Blend,J. & F. Lurton
245,Argentina,85,12,Other,Michael Schachner,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras
248,US,85,45,Oregon,Paul Gregutt,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity
251,US,85,22,Oregon,Paul Gregutt,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill
253,Argentina,85,15,Mendoza Province,Michael Schachner,Cueva de las Manos 2007 Reserve Malbec (Lujan de Cuyo),Malbec,Cueva de las Manos
255,US,89,55,California,Virginie Boone,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina
256,South Africa,89,20,Coastal Region,Lauren Buzzeo,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,Goats do Roam Wine Co.
257,South Africa,89,18,Coastal Region,Lauren Buzzeo,Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck
258,South Africa,89,35,Stellenbosch,Lauren Buzzeo,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg
259,France,89,13,Southwest France,Roger Voss,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118
260,US,89,40,Oregon,Paul Gregutt,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
261,Argentina,89,37,Mendoza Province,Michael Schachner,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Algodon
262,US,89,39,California,Virginie Boone,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek
264,South Africa,89,19,Stellenbosch,Lauren Buzzeo,Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin
265,South Africa,89,40,Stellenbosch,Lauren Buzzeo,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,Jardin
266,Argentina,89,14,Mendoza Province,Michael Schachner,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Kaiken
269,Austria,89,17,Leithaberg,Roger Voss,Mariell 2009 Blaufrankisch (Leithaberg),Blaufrankisch,Mariell
271,Greece,89,15,Santorini,Susan Kostrzewa,My Big Fat Greek Wine 2010 Assyrtico (Santorini),Assyrtico,My Big Fat Greek Wine
273,Argentina,89,19,Mendoza Province,Michael Schachner,O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,O. Fournier
275,Argentina,89,30,Mendoza Province,Michael Schachner,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano
278,US,89,50,Oregon,Paul Gregutt,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath
280,Austria,92,24,Kremstal,Roger Voss,Forstreiter 2012 Schiefer Reserve Gruner Veltliner (Kremstal),Gruner Veltliner,Forstreiter
282,Italy,92,41,Tuscany,Kerin O Keefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza
283,US,92,52,Oregon,Paul Gregutt,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher
284,Argentina,92,215,Mendoza Province,Michael Schachner,Vina Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,Vina Cobos
287,Spain,92,40,Catalonia,Michael Schachner,Acustic 2010 Brao Vinyes Velles Carignan-Grenache (Montsant),Carignan-Grenache,Acustic
292,France,92,45,France Other,Roger Voss,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),Savagnin,Domaine Daniel Dugois
293,Australia,92,70,South Australia,Joe Czerwinski,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,Kilikanoon
294,Argentina,92,30,Mendoza Province,Michael Schachner,Finca Sophenia 2011 Synthesis Malbec (Tupungato),Malbec,Finca Sophenia
296,Chile,87,20,Maipo Valley,Michael Schachner,Ventisquero 2008 Grey [Glacier] Single Block Trinidad Vineyard Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ventisquero
