make,fueltype,numofdoors,bodystyle,drivewheels,wheelbase,length,width,height,numofcylinders,enginesize,horsepower,citympg,highwaympg,price
dodge,gas,two,hatchback,fwd,93.7,157.3,63.8,50.8,four,90,68,31,38,6377
dodge,gas,two,hatchback,fwd,93.7,157.3,63.8,50.8,four,98,102,24,30,7957
dodge,gas,four,hatchback,fwd,93.7,157.3,63.8,50.6,four,90,68,31,38,6229
dodge,gas,four,sedan,fwd,93.7,157.3,63.8,50.6,four,90,68,31,38,6692
dodge,gas,four,sedan,fwd,93.7,157.3,63.8,50.6,four,90,68,31,38,7609
dodge,gas,four,sedan,fwd,93.7,157.3,63.8,50.6,four,98,102,24,30,8558
dodge,gas,four,wagon,fwd,103.3,174.6,64.6,59.8,four,122,88,24,30,8921
dodge,gas,two,hatchback,fwd,95.9,173.2,66.3,50.2,four,156,145,19,24,12964
honda,gas,two,hatchback,fwd,86.6,144.6,63.9,50.8,four,92,58,49,54,6479
honda,gas,two,hatchback,fwd,86.6,144.6,63.9,50.8,four,92,76,31,38,6855
honda,gas,two,hatchback,fwd,93.7,150,64,52.6,four,79,60,38,42,5399
honda,gas,two,hatchback,fwd,93.7,150,64,52.6,four,92,76,30,34,6529
honda,gas,two,hatchback,fwd,93.7,150,64,52.6,four,92,76,30,34,7129
honda,gas,four,sedan,fwd,96.5,163.4,64,54.5,four,92,76,30,34,7295
honda,gas,four,wagon,fwd,96.5,157.1,63.9,58.3,four,92,76,30,34,7295
honda,gas,two,hatchback,fwd,96.5,167.5,65.2,53.3,four,110,86,27,33,7895
honda,gas,two,hatchback,fwd,96.5,167.5,65.2,53.3,four,110,86,27,33,9095
honda,gas,four,sedan,fwd,96.5,175.4,65.2,54.1,four,110,86,27,33,8845
honda,gas,four,sedan,fwd,96.5,175.4,62.5,54.1,four,110,86,27,33,10295
honda,gas,four,sedan,fwd,96.5,175.4,65.2,54.1,four,110,101,24,28,12945
honda,gas,two,sedan,fwd,96.5,169.1,66,51,four,110,100,25,31,10345
isuzu,gas,four,sedan,rwd,94.3,170.7,61.8,53.5,four,111,78,24,29,6785
isuzu,gas,two,sedan,fwd,94.5,155.9,63.6,52,four,90,70,38,43,8935
isuzu,gas,four,sedan,fwd,94.5,155.9,63.6,52,four,90,70,38,43,10950
isuzu,gas,two,hatchback,rwd,96,172.6,65.2,51.4,four,119,90,24,29,11048
jaguar,gas,four,sedan,rwd,113,199.6,69.6,52.8,six,258,176,15,19,32250
jaguar,gas,four,sedan,rwd,113,199.6,69.6,52.8,six,258,176,15,19,35550
jaguar,gas,two,sedan,rwd,102,191.7,70.6,47.8,twelve,326,262,13,17,36000
mazda,gas,two,hatchback,fwd,93.1,159.1,64.2,54.1,four,91,68,30,31,5195
mazda,gas,two,hatchback,fwd,93.1,159.1,64.2,54.1,four,91,68,31,38,6095
mazda,gas,two,hatchback,fwd,93.1,159.1,64.2,54.1,four,91,68,31,38,6795
mazda,gas,four,sedan,fwd,93.1,166.8,64.2,54.1,four,91,68,31,38,6695
mazda,gas,four,sedan,fwd,93.1,166.8,64.2,54.1,four,91,68,31,38,7395
mazda,gas,two,hatchback,rwd,95.3,169,65.7,49.6,two,70,101,17,23,10945
mazda,gas,two,hatchback,rwd,95.3,169,65.7,49.6,two,70,101,17,23,11845
mazda,gas,two,hatchback,rwd,95.3,169,65.7,49.6,two,70,101,17,23,13645
mazda,gas,two,hatchback,rwd,95.3,169,65.7,49.6,two,80,135,16,23,15645
mazda,gas,two,hatchback,fwd,98.8,177.8,66.5,53.7,four,122,84,26,32,8845
mazda,gas,four,sedan,fwd,98.8,177.8,66.5,55.5,four,122,84,26,32,8495
mazda,gas,two,hatchback,fwd,98.8,177.8,66.5,53.7,four,122,84,26,32,10595
mazda,gas,four,sedan,fwd,98.8,177.8,66.5,55.5,four,122,84,26,32,10245
mazda,diesel,four,sedan,fwd,98.8,177.8,66.5,55.5,four,122,64,36,42,10795
mazda,gas,four,hatchback,fwd,98.8,177.8,66.5,55.5,four,122,84,26,32,11245
mazda,gas,four,sedan,rwd,104.9,175,66.1,54.4,four,140,120,19,27,18280
mazda,diesel,four,sedan,rwd,104.9,175,66.1,54.4,four,134,72,31,39,18344
mercedes-benz,diesel,four,sedan,rwd,110,190.9,70.3,56.5,five,183,123,22,25,25552
mercedes-benz,diesel,four,wagon,rwd,110,190.9,70.3,58.7,five,183,123,22,25,28248
mercedes-benz,diesel,two,hardtop,rwd,106.7,187.5,70.3,54.9,five,183,123,22,25,28176
mercedes-benz,diesel,four,sedan,rwd,115.6,202.6,71.7,56.3,five,183,123,22,25,31600
mercedes-benz,gas,four,sedan,rwd,115.6,202.6,71.7,56.5,eight,234,155,16,18,34184
mercedes-benz,gas,two,convertible,rwd,96.6,180.3,70.5,50.8,eight,234,155,16,18,35056
mercedes-benz,gas,four,sedan,rwd,120.9,208.1,71.7,56.7,eight,308,184,14,16,40960
mercedes-benz,gas,two,hardtop,rwd,112,199.2,72,55.4,eight,304,184,14,16,45400
mercury,gas,two,hatchback,rwd,102.7,178.4,68,54.8,four,140,175,19,24,16503
mitsubishi,gas,two,hatchback,fwd,93.7,157.3,64.4,50.8,four,92,68,37,41,5389
mitsubishi,gas,two,hatchback,fwd,93.7,157.3,64.4,50.8,four,92,68,31,38,6189
mitsubishi,gas,two,hatchback,fwd,93.7,157.3,64.4,50.8,four,92,68,31,38,6669
mitsubishi,gas,two,hatchback,fwd,93,157.3,63.8,50.8,four,98,102,24,30,7689
mitsubishi,gas,two,hatchback,fwd,96.3,173,65.4,49.4,four,110,116,23,30,9959
mitsubishi,gas,two,hatchback,fwd,96.3,173,65.4,49.4,four,122,88,25,32,8499
mitsubishi,gas,two,hatchback,fwd,95.9,173.2,66.3,50.2,four,156,145,19,24,12629
mitsubishi,gas,two,hatchback,fwd,95.9,173.2,66.3,50.2,four,156,145,19,24,14869
mitsubishi,gas,two,hatchback,fwd,95.9,173.2,66.3,50.2,four,156,145,19,24,14489
mitsubishi,gas,four,sedan,fwd,96.3,172.4,65.4,51.6,four,122,88,25,32,6989
mitsubishi,gas,four,sedan,fwd,96.3,172.4,65.4,51.6,four,122,88,25,32,8189
mitsubishi,gas,four,sedan,fwd,96.3,172.4,65.4,51.6,four,110,116,23,30,9279
mitsubishi,gas,four,sedan,fwd,96.3,172.4,65.4,51.6,four,110,116,23,30,9279
nissan,gas,two,sedan,fwd,94.5,165.3,63.8,54.5,four,97,69,31,37,5499
nissan,diesel,two,sedan,fwd,94.5,165.3,63.8,54.5,four,103,55,45,50,7099
nissan,gas,two,sedan,fwd,94.5,165.3,63.8,54.5,four,97,69,31,37,6649
nissan,gas,four,sedan,fwd,94.5,165.3,63.8,54.5,four,97,69,31,37,6849
nissan,gas,four,wagon,fwd,94.5,170.2,63.8,53.5,four,97,69,31,37,7349
nissan,gas,two,sedan,fwd,94.5,165.3,63.8,54.5,four,97,69,31,37,7299
nissan,gas,two,hatchback,fwd,94.5,165.6,63.8,53.3,four,97,69,31,37,7799
nissan,gas,four,sedan,fwd,94.5,165.3,63.8,54.5,four,97,69,31,37,7499
nissan,gas,four,wagon,fwd,94.5,170.2,63.8,53.5,four,97,69,31,37,7999
nissan,gas,two,hardtop,fwd,95.1,162.4,63.8,53.3,four,97,69,31,37,8249
nissan,gas,four,hatchback,fwd,97.2,173.4,65.2,54.7,four,120,97,27,34,8949
nissan,gas,four,sedan,fwd,97.2,173.4,65.2,54.7,four,120,97,27,34,9549
nissan,gas,four,sedan,fwd,100.4,181.7,66.5,55.1,six,181,152,17,22,13499
nissan,gas,four,wagon,fwd,100.4,184.6,66.5,56.1,six,181,152,17,22,14399
nissan,gas,four,sedan,fwd,100.4,184.6,66.5,55.1,six,181,152,19,25,13499
nissan,gas,two,hatchback,rwd,91.3,170.7,67.9,49.7,six,181,160,19,25,17199
nissan,gas,two,hatchback,rwd,91.3,170.7,67.9,49.7,six,181,200,17,23,19699
nissan,gas,two,hatchback,rwd,99.2,178.5,67.9,49.7,six,181,160,19,25,18399
peugot,gas,four,sedan,rwd,107.9,186.7,68.4,56.7,four,120,97,19,24,11900
peugot,diesel,four,sedan,rwd,107.9,186.7,68.4,56.7,four,152,95,28,33,13200
peugot,gas,four,wagon,rwd,114.2,198.9,68.4,58.7,four,120,97,19,24,12440
peugot,diesel,four,wagon,rwd,114.2,198.9,68.4,58.7,four,152,95,25,25,13860
peugot,gas,four,sedan,rwd,107.9,186.7,68.4,56.7,four,120,95,19,24,15580
peugot,diesel,four,sedan,rwd,107.9,186.7,68.4,56.7,four,152,95,28,33,16900
peugot,gas,four,wagon,rwd,114.2,198.9,68.4,56.7,four,120,95,19,24,16695
peugot,diesel,four,wagon,rwd,114.2,198.9,68.4,58.7,four,152,95,25,25,17075
peugot,gas,four,sedan,rwd,107.9,186.7,68.4,56.7,four,120,97,19,24,16630
peugot,diesel,four,sedan,rwd,107.9,186.7,68.4,56.7,four,152,95,28,33,17950
peugot,gas,four,sedan,rwd,108,186.7,68.3,56,four,134,142,18,24,18150
plymouth,gas,two,hatchback,fwd,93.7,157.3,63.8,50.8,four,90,68,37,41,5572
plymouth,gas,two,hatchback,fwd,93.7,157.3,63.8,50.8,four,98,102,24,30,7957
plymouth,gas,four,hatchback,fwd,93.7,157.3,63.8,50.6,four,90,68,31,38,6229
plymouth,gas,four,sedan,fwd,93.7,167.3,63.8,50.8,four,90,68,31,38,6692
plymouth,gas,four,sedan,fwd,93.7,167.3,63.8,50.8,four,98,68,31,38,7609
plymouth,gas,four,wagon,fwd,103.3,174.6,64.6,59.8,four,122,88,24,30,8921
plymouth,gas,two,hatchback,rwd,95.9,173.2,66.3,50.2,four,156,145,19,24,12764
porsche,gas,two,hatchback,rwd,94.5,168.9,68.3,50.2,four,151,143,19,27,22018
porsche,gas,two,hardtop,rwd,89.5,168.9,65,51.6,six,194,207,17,25,32528
porsche,gas,two,hardtop,rwd,89.5,168.9,65,51.6,six,194,207,17,25,34028
porsche,gas,two,convertible,rwd,89.5,168.9,65,51.6,six,194,207,17,25,37028
porsche,gas,two,hatchback,rwd,98.4,175.7,72.3,50.5,eight,203,288,17,28,30456
renault,gas,four,wagon,fwd,96.1,181.5,66.5,55.2,four,132,213,23,31,9295
renault,gas,two,hatchback,fwd,96.1,176.8,66.6,50.5,four,132,95,23,31,9895
saab,gas,two,hatchback,fwd,99.1,186.6,66.5,56.1,four,121,110,21,28,11850
saab,gas,four,sedan,fwd,99.1,186.6,66.5,56.1,four,121,110,21,28,12170
saab,gas,two,hatchback,fwd,99.1,186.6,66.5,56.1,four,121,110,21,28,15040
saab,gas,four,sedan,fwd,99.1,186.6,66.5,56.1,four,121,110,21,28,15510
saab,gas,two,hatchback,fwd,99.1,186.6,66.5,56.1,four,121,160,19,26,18150
saab,gas,four,sedan,fwd,99.1,186.6,66.5,56.1,four,121,160,19,26,18620
subaru,gas,two,hatchback,fwd,93.7,156.9,63.4,53.7,four,97,69,31,36,5118
subaru,gas,two,hatchback,fwd,93.7,157.9,63.6,53.7,four,108,73,26,31,7053
subaru,gas,two,hatchback,4wd,93.3,157.3,63.8,55.7,four,108,73,26,31,7603
subaru,gas,four,sedan,fwd,97.2,172,65.4,52.5,four,108,82,32,37,7126
subaru,gas,four,sedan,fwd,97.2,172,65.4,52.5,four,108,82,28,33,7775
subaru,gas,four,sedan,fwd,97.2,172,65.4,52.5,four,108,94,26,32,9960
subaru,gas,four,sedan,4wd,97,172,65.4,54.3,four,108,82,24,25,9233
subaru,gas,four,sedan,4wd,97,172,65.4,54.3,four,108,111,24,29,11259
subaru,gas,four,wagon,fwd,97,173.5,65.4,53,four,108,82,28,32,7463
subaru,gas,four,wagon,fwd,97,173.5,65.4,53,four,108,94,25,31,10198
subaru,gas,four,wagon,4wd,96.9,173.6,65.4,54.9,four,108,82,23,29,8013
subaru,gas,four,wagon,4wd,96.9,173.6,65.4,54.9,four,108,111,23,23,11694
toyota,gas,two,hatchback,fwd,95.7,158.7,63.6,54.5,four,92,62,35,39,5348
toyota,gas,two,hatchback,fwd,95.7,158.7,63.6,54.5,four,92,62,31,38,6338
toyota,gas,four,hatchback,fwd,95.7,158.7,63.6,54.5,four,92,62,31,38,6488
toyota,gas,four,wagon,fwd,95.7,169.7,63.6,59.1,four,92,62,31,37,6918
toyota,gas,four,wagon,4wd,95.7,169.7,63.6,59.1,four,92,62,27,32,7898
toyota,gas,four,wagon,4wd,95.7,169.7,63.6,59.1,four,92,62,27,32,8778
toyota,gas,four,sedan,fwd,95.7,166.3,64.4,53,four,98,70,30,37,6938
toyota,gas,four,hatchback,fwd,95.7,166.3,64.4,52.8,four,98,70,30,37,7198
toyota,diesel,four,sedan,fwd,95.7,166.3,64.4,53,four,110,56,34,36,7898
toyota,diesel,four,hatchback,fwd,95.7,166.3,64.4,52.8,four,110,56,38,47,7788
toyota,gas,four,sedan,fwd,95.7,166.3,64.4,53,four,98,70,38,47,7738
toyota,gas,four,hatchback,fwd,95.7,166.3,64.4,52.8,four,98,70,28,34,8358
toyota,gas,four,sedan,fwd,95.7,166.3,64.4,52.8,four,98,70,28,34,9258
toyota,gas,two,sedan,rwd,94.5,168.7,64,52.6,four,98,70,29,34,8058
toyota,gas,two,hatchback,rwd,94.5,168.7,64,52.6,four,98,70,29,34,8238
toyota,gas,two,sedan,rwd,94.5,168.7,64,52.6,four,98,112,26,29,9298
toyota,gas,two,hatchback,rwd,94.5,168.7,64,52.6,four,98,112,26,29,9538
toyota,gas,two,hardtop,rwd,98.4,176.2,65.6,52,four,146,116,24,30,8449
toyota,gas,two,hardtop,rwd,98.4,176.2,65.6,52,four,146,116,24,30,9639
toyota,gas,two,hatchback,rwd,98.4,176.2,65.6,52,four,146,116,24,30,9989
toyota,gas,two,hardtop,rwd,98.4,176.2,65.6,52,four,146,116,24,30,11199
toyota,gas,two,hatchback,rwd,98.4,176.2,65.6,52,four,146,116,24,30,11549
toyota,gas,two,convertible,rwd,98.4,176.2,65.6,53,four,146,116,24,30,17669
toyota,gas,four,sedan,fwd,102.4,175.6,66.5,54.9,four,122,92,29,34,8948
toyota,diesel,four,sedan,fwd,102.4,175.6,66.5,54.9,four,110,73,30,33,10698
toyota,gas,four,hatchback,fwd,102.4,175.6,66.5,53.9,four,122,92,27,32,9988
toyota,gas,four,sedan,fwd,102.4,175.6,66.5,54.9,four,122,92,27,32,10898
toyota,gas,four,hatchback,fwd,102.4,175.6,66.5,53.9,four,122,92,27,32,11248
toyota,gas,two,hatchback,rwd,102.9,183.5,67.7,52,six,171,161,20,24,16558
toyota,gas,two,hatchback,rwd,102.9,183.5,67.7,52,six,171,161,19,24,15998
toyota,gas,four,sedan,rwd,104.5,187.8,66.5,54.1,six,171,156,20,24,15690
toyota,gas,four,wagon,rwd,104.5,187.8,66.5,54.1,six,161,156,19,24,15750
volkswagen,diesel,two,sedan,fwd,97.3,171.7,65.5,55.7,four,97,52,37,46,7775
volkswagen,gas,two,sedan,fwd,97.3,171.7,65.5,55.7,four,109,85,27,34,7975
volkswagen,diesel,four,sedan,fwd,97.3,171.7,65.5,55.7,four,97,52,37,46,7995
volkswagen,gas,four,sedan,fwd,97.3,171.7,65.5,55.7,four,109,85,27,34,8195
volkswagen,gas,four,sedan,fwd,97.3,171.7,65.5,55.7,four,109,85,27,34,8495
volkswagen,diesel,four,sedan,fwd,97.3,171.7,65.5,55.7,four,97,68,37,42,9495
volkswagen,gas,four,sedan,fwd,97.3,171.7,65.5,55.7,four,109,100,26,32,9995
volkswagen,gas,two,convertible,fwd,94.5,159.3,64.2,55.6,four,109,90,24,29,11595
volkswagen,gas,two,hatchback,fwd,94.5,165.7,64,51.4,four,109,90,24,29,9980
volkswagen,gas,four,sedan,fwd,100.4,180.2,66.9,55.1,five,136,110,19,24,13295
volkswagen,diesel,four,sedan,fwd,100.4,180.2,66.9,55.1,four,97,68,33,38,13845
volkswagen,gas,four,wagon,fwd,100.4,183.1,66.9,55.1,four,109,88,25,31,12290
volvo,gas,four,sedan,rwd,104.3,188.8,67.2,56.2,four,141,114,23,28,12940
volvo,gas,four,wagon,rwd,104.3,188.8,67.2,57.5,four,141,114,23,28,13415
volvo,gas,four,sedan,rwd,104.3,188.8,67.2,56.2,four,141,114,24,28,15985
volvo,gas,four,wagon,rwd,104.3,188.8,67.2,57.5,four,141,114,24,28,16515
volvo,gas,four,sedan,rwd,104.3,188.8,67.2,56.2,four,130,162,17,22,18420
volvo,gas,four,wagon,rwd,104.3,188.8,67.2,57.5,four,130,162,17,22,18950
volvo,gas,four,sedan,rwd,109.1,188.8,68.9,55.5,four,141,114,23,28,16845
volvo,gas,four,sedan,rwd,109.1,188.8,68.8,55.5,four,141,160,19,25,19045
volvo,gas,four,sedan,rwd,109.1,188.8,68.9,55.5,six,173,134,18,23,21485
volvo,diesel,four,sedan,rwd,109.1,188.8,68.9,55.5,six,145,106,26,27,22470
volvo,gas,four,sedan,rwd,109.1,188.8,68.9,55.5,four,141,114,19,25,22625
